fiscal_year,function_code,function_label,subfunction_code,subfunction_label,individual_income_tax_receipts_millions,total_outlays_millions,subfunction_outlays_millions,modeled_income_tax_allocation_millions,allocation_share_percent,outlay_share_percent,allocation_method,legal_allocation_status,actual_or_projection
1964,600,Income Security,603,Unemployment compensation,48697,118528,3178,1305.631104,2.681132521,2.681223002,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,600,Income Security,604,Housing assistance,48697,118528,150,61.625131,0.126548105,0.126552376,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,600,Income Security,605,Food and nutrition assistance,48697,118528,308,126.536935,0.259845443,0.259854212,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,600,Income Security,609,Other income security,48697,118528,2785,1144.173261,2.349576486,2.349655778,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,650,Social Security,651,Social security,48697,118528,16620,6828.064489,14.021530051,14.02200324,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,700,Veterans Benefits and Services,701,Income security for veterans,48697,118528,4155,1707.016122,3.505382513,3.50550081,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",48697,118528,71,29.169229,0.059899436,0.059901458,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,48697,118528,1229,504.915238,1.036850808,1.036885799,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,700,Veterans Benefits and Services,704,Veterans housing,48697,118528,49,20.130876,0.041339048,0.041340443,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,700,Veterans Benefits and Services,705,Other veterans benefits and services,48697,118528,179,73.539323,0.151014072,0.151019168,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,750,Administration of Justice,751,Federal law enforcement activities,48697,118528,306,125.715267,0.258158135,0.258166847,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,750,Administration of Justice,752,Federal litigative and judicial activities,48697,118528,131,53.819281,0.110518679,0.110522408,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,750,Administration of Justice,753,Federal correctional activities,48697,118528,53,21.774213,0.044713664,0.044715173,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,800,General Government,801,Legislative functions,48697,118528,174,71.485152,0.146795802,0.146800756,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,800,General Government,802,Executive direction and management,48697,118528,15,6.162513,0.012654811,0.012655238,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,800,General Government,803,Central fiscal operations,48697,118528,607,249.376363,0.512097999,0.512115281,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,800,General Government,804,General property and records management,48697,118528,532,218.563797,0.448823946,0.448839093,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,800,General Government,805,Central personnel management,48697,118528,23,9.449187,0.019404043,0.019404698,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,800,General Government,806,General purpose fiscal assistance,48697,118528,241,99.011043,0.203320622,0.203327484,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,800,General Government,808,Other general government,48697,118528,150,61.625131,0.126548105,0.126552376,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,800,General Government,809,Deductions for offsetting receipts,48697,118528,-224,-92.026862,-0.188978504,-0.188984881,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,900,Net Interest,901,Interest on Treasury debt securities (gross),48697,118528,10666,4381.957632,8.99841393,8.998717603,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,900,Net Interest,902,Interest received by on-budget trust funds,48697,118528,-1006,-413.29921,-0.848715959,-0.8487446,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,900,Net Interest,903,Interest received by off-budget trust funds,48697,118528,-607,-249.376363,-0.512097999,-0.512115281,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,900,Net Interest,908,Other interest,48697,118528,-855,-351.263245,-0.721324199,-0.721348542,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,950,Undistributed Offsetting Receipts,951,"Employer share, employee retirement (on-budget)",48697,118528,-5413,-2223.845552,-4.566699288,-4.566853402,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,950,Undistributed Offsetting Receipts,952,"Employer share, employee retirement (off-budget)",48697,118528,-279,-114.622743,-0.235379476,-0.235387419,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,950,Undistributed Offsetting Receipts,953,Rents and royalties on the Outer Continental Shelf,48697,118528,-16,-6.573347,-0.013498465,-0.01349892,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,050,National Defense,051,Department of Defense-Military,48792,118228,48780,20130.70819,41.258214851,41.259261765,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,050,National Defense,053,Atomic energy defense activities,48792,118228,1620,668.547504,1.370199017,1.370233786,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,050,National Defense,054,Defense-related activities,48792,118228,220,90.790402,0.18607641,0.186081131,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,150,International Affairs,151,International development and humanitarian assistance,48792,118228,3357,1385.378995,2.839356852,2.8394289,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,150,International Affairs,152,International security assistance,48792,118228,1599,659.881148,1.352437178,1.352471496,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,150,International Affairs,153,Conduct of foreign affairs,48792,118228,336,138.661705,0.284189426,0.284196637,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,150,International Affairs,154,Foreign information and exchange activities,48792,118228,224,92.441136,0.189459617,0.189464425,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,150,International Affairs,155,International financial programs,48792,118228,-242,-99.869442,-0.204684051,-0.204689245,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,250,"General Science, Space, and Technology",251,General science and basic research,48792,118228,789,325.607396,0.667337669,0.667354603,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",48792,118228,5034,2077.449468,4.257766576,4.257874615,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,270,Energy,271,Energy supply,48792,118228,602,248.435554,0.509172721,0.509185641,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,270,Energy,276,"Energy information, policy, and regulation",48792,118228,97,40.030314,0.082042781,0.082044862,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,300,Natural Resources and Environment,301,Water resources,48792,118228,1546,638.008915,1.307609679,1.30764286,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,300,Natural Resources and Environment,302,Conservation and land management,48792,118228,384,158.47052,0.324787915,0.324796157,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,300,Natural Resources and Environment,303,Recreational resources,48792,118228,175,72.219638,0.148015326,0.148019082,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,300,Natural Resources and Environment,304,Pollution control and abatement,48792,118228,134,55.299608,0.11333745,0.113340325,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,300,Natural Resources and Environment,306,Other natural resources,48792,118228,292,120.503624,0.246974144,0.246980411,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,350,Agriculture,351,Farm income stabilization,48792,118228,3551,1465.439622,3.003442414,3.003518625,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,350,Agriculture,352,Agricultural research and services,48792,118228,404,166.724192,0.341703952,0.341712623,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,370,Commerce and Housing Credit,371,Mortgage credit,48792,118228,277,114.31337,0.234287116,0.234293061,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,370,Commerce and Housing Credit,372,Postal service,48792,118228,805,332.210334,0.680870499,0.680887776,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,370,Commerce and Housing Credit,373,Deposit insurance,48792,118228,-389,-160.533938,-0.329016924,-0.329025273,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,370,Commerce and Housing Credit,376,Other advancement of commerce,48792,118228,465,191.897895,0.393297866,0.393307846,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,400,Transportation,401,Ground transportation,48792,118228,4105,1694.066362,3.472016645,3.472104747,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,400,Transportation,402,Air transportation,48792,118228,941,388.33531,0.795899553,0.795919748,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,400,Transportation,403,Water transportation,48792,118228,717,295.894173,0.606439935,0.606455324,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,450,Community and Regional Development,451,Community development,48792,118228,413,170.438345,0.349316169,0.349325033,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,450,Community and Regional Development,452,Area and regional development,48792,118228,648,267.419002,0.548079607,0.548093514,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,450,Community and Regional Development,453,Disaster relief and insurance,48792,118228,53,21.872233,0.044827499,0.044828636,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",48792,118228,719,296.719541,0.608131539,0.60814697,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,500,"Education, Training, Employment, and Social Services",502,Higher education,48792,118228,413,170.438345,0.349316169,0.349325033,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,48792,118228,92,37.966895,0.077813771,0.077815746,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,500,"Education, Training, Employment, and Social Services",504,Training and employment,48792,118228,528,217.896964,0.446583383,0.446594715,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,500,"Education, Training, Employment, and Social Services",505,Other labor services,48792,118228,97,40.030314,0.082042781,0.082044862,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,500,"Education, Training, Employment, and Social Services",506,Social services,48792,118228,291,120.090941,0.246128342,0.246134587,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,550,Health,551,Health care services,48792,118228,881,363.574291,0.745151441,0.745170349,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,550,Health,552,Health research and training,48792,118228,780,321.893243,0.659725453,0.659742193,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,550,Health,554,Consumer and occupational health and safety,48792,118228,130,53.648874,0.109954242,0.109957032,proportional_outlay_share,modeled_not_legal_dedication,actual
1965,600,Income Security,601,General retirement and disability insurance (excluding social security),48792,118228,668,275.672675,0.564995644,0.565009981,proportional_outlay_share,modeled_not_legal_dedication,actual
